Reservatorio,Bacia,Fechamento,Area,Trofia,pH,Condutividade,Alcalinidade,P.total,Riqueza,CPUE
Cavernoso,Iguacu,1965,2.9,Oligotrófico,7.4,33.1,139.8,7.8,18,9.22
Curucaca,Iguacu,1982,2,Oligotrófico,7,32.4,125.7,4.7,16,28.73
Foz do Areia,Iguacu,1980,139,Oligotrófico,7.3,35.5,97,14.3,19,11.59
Irai,Iguacu,2000,15,Eutrófico,6.9,50.2,3.3,53.4,12,30.76
JMF,Iguacu,1970,0.45,Mesotrófico,7.3,40.2,3.7,41.2,18,5.95
Jordao,Iguacu,1996,3.4,Oligotrófico,7.1,23.7,152.7,3.3,17,7.75
Passauna,Iguacu,1978,14,Oligotrófico,8.8,125.6,526,15.2,11,7.51
Piraquara,Iguacu,1979,3.3,Oligotrófico,7.1,22.8,50.67,4.5,8,4.01
Salto Caxias,Iguacu,1998,124,Oligotrófico,7.3,39.6,106,12.1,21,20.83
Salto do Vau,Iguacu,1959,2.9,Oligotrófico,6.5,23.2,279,11,8,2.43
Salto Osorio,Iguacu,1975,51,Oligotrófico,8.6,38.9,233.3,3.4,24,12.55
Salto Santiago,Iguacu,1979,208,Oligotrófico,9.2,39.5,117.6,13.1,21,11.73
Segredo,Iguacu,1992,82.5,Oligotrófico,7,34.5,165.2,6.4,22,13.72
Mourao,Ivai,1964,11.3,Oligotrófico,8.1,23.3,56.55,7.1,15,16.5
Patos,Ivai,NA,1.3,Mesotrófico,6.9,46,180.1,39.2,10,4.71
Guaricana,Litoranea,1957,7,Oligotrófico,7.4,27.9,83.72,12.4,12,7.95
Parigot Souza,Litoranea,1970,12,Oligotrófico,7.7,63.6,259.2,16.9,12,13.12
Salto do Meio,Litoranea,NA,0.1,Oligotrófico,6.9,37.4,147.1,17.1,11,16.1
Vossoroca,Litoranea,1949,5.1,Mesotrófico,7.3,39.8,156,21.9,14,11.74
Canoas I,Paranapanema,1999,30.85,Oligotrófico,7.4,63.3,234.9,9.9,35,17.95
Canoas II,Paranapanema,1992,22.5,Oligotrófico,7.8,61.2,NA,9,40,13.86
Capivara,Paranapanema,1975,419.3,Oligotrófico,7.5,58.6,196,5.5,34,13.04
Chavantes,Paranapanema,1970,400,Oligotrófico,7.6,57.8,211.8,7.8,23,7.35
Rosana,Paranapanema,1986,220,NA,7.7,58.2,202.4,NA,30,20.92
Salto Grande,Paranapanema,1958,12,Oligotrófico,7.1,62.3,230.1,10.3,24,13.67
Taquarucu,Paranapanema,1989,80.1,Oligotrófico,7.9,57,191.8,4.5,33,21.82
Melissa,Piriqui,1962,0.1,Eutrófico,6.8,34,68.37,66.9,12,6.29
Santa Maria,Piriqui,NA,0.07,Oligotrófico,6.8,41.7,480.1,14.9,7,9.4
Alagados,Tibagi,1909,7.2,Oligotrófico,7.6,41.7,172.2,19.9,7,5.6
Apucaraninha,Tibagi,1958,NA,NA,NA,NA,NA,NA,10,2.05
Harmonia,Tibagi,NA,NA,Oligotrófico,8.3,31,113.3,8.6,7,24.88
